SRC_POLICE_PRECINCT,lat,lon,hr
110,40.73821,-73.866486,04
052,40.86539,-73.88684,14
066,40.642796,-73.97945,18
073,40.678192,-73.90943,00
052,40.862755,-73.901085,17
110,40.735325,-73.865166,11
066,40.609417,-73.9677,23
102,40.69511,-73.81249,01
083,40.699036,-73.9389,18
044,40.830536,-73.91571,11
062,40.597355,-73.98625,11
110,40.73831,-73.88548,17
072,40.665073,-73.996574,17
110,40.737797,-73.8507,08
072,40.64926,-74.012955,02
102,40.701084,-73.841515,11
072,40.6532,-74.005585,10
102,40.69275,-73.85545,02
062,40.59662,-74.00231,18
068,40.6228,-74.02836,16
044,40.843365,-73.91545,12
102,40.693787,-73.81173,07
061,40.60164,-73.95184,13
072,40.64927,-74.009674,20
061,40.60228,-73.95197,20
083,40.700718,-73.929794,20
102,40.70313,-73.816795,13
121,40.605396,-74.169815,17
083,40.70455,-73.91662,21
103,40.69761,-73.80486,06
061,40.60661,-73.94308,08
043,40.82875,-73.84721,08
102,40.69169,-73.83898,07
107,40.736267,-73.772865,17
102,40.706036,-73.83622,07
047,40.87273,-73.83532,01
102,40.699192,-73.822014,11
104,40.698677,-73.89977,05
107,40.726357,-73.76388,10
122,40.5595,-74.1667,21
090,40.703373,-73.93764,00
104,40.719013,-73.87555,00
043,40.814514,-73.86705,08
104,40.707794,-73.87326,11
113,40.680805,-73.76389,10
090,40.71337,-73.934814,04
107,40.72719,-73.81171,16
114,40.76334,-73.90991,11
067,40.657482,-73.92141,23
067,40.64981,-73.93503,10
114,40.756256,-73.924515,20
114,40.78073,-73.918625,01
014,40.758053,-73.98921,20
114,40.770744,-73.920586,07
108,40.746185,-73.95296,09
109,40.749825,-73.80354,20
109,40.75372,-73.83283,16
105,40.681473,-73.72776,20
105,40.72469,-73.7541,10
105,40.67471,-73.73046,22
075,40.64254,-73.87652,01
075,40.655037,-73.88797,12
075,40.65545,-73.863335,18
100,40.593452,-73.80073,07
100,40.59087,-73.801285,05
026,40.817524,-73.95303,11
026,40.81569,-73.958305,15
026,40.818085,-73.96048,21
030,40.82623,-73.95205,21
006,40.73174,-73.99147,18
009,40.73059,-73.99242,08
076,40.679935,-73.995575,08
076,40.673645,-74.004234,08
013,40.73696,-73.98451,07
013,40.73555,-73.979355,15
033,40.8342,-73.94105,09
076,40.6766,-73.99459,06
010,40.74955,-74.00654,16
005,40.709362,-73.9943,13
023,40.788948,-73.94057,11
018,40.763023,-73.97815,06
088,40.69832,-73.962265,14
007,40.717842,-73.98929,03
014,40.753098,-73.97788,18
018,40.763954,-73.98425,20
023,40.794243,-73.931145,15
014,40.749443,-73.99285,21
023,40.791954,-73.938354,11
088,40.688087,-73.96683,10
001,40.722977,-74.005066,17
081,40.689243,-73.93632,00
005,40.718395,-73.9978,11
060,40.578938,-73.98522,16
001,40.715996,-74.0071,07
060,40.583305,-73.97377,14
014,40.746204,-73.985146,20
017,40.750217,-73.979065,13
017,40.76155,-73.96659,13
071,40.65728,-73.947365,12
081,40.68963,-73.92741,13
032,40.825706,-73.93984,02
041,40.821938,-73.89031,08
017,40.749584,-73.973694,16
041,40.819782,-73.884995,16
084,40.692123,-73.98904,16
084,40.702927,-73.984665,10
094,40.71737,-73.958244,18
084,40.687233,-73.98188,17
071,40.6689,-73.95862,18
042,40.837368,-73.88777,15
050,40.878742,-73.91569,18
063,40.62124,-73.929085,11
048,40.846657,-73.89619,08
063,40.622044,-73.91237,16
042,40.830544,-73.9011,00
046,40.860577,-73.90255,15
063,40.592815,-73.90808,05
120,40.610043,-74.063156,11
046,40.853813,-73.90734,10
025,40.800507,-73.938156,02
042,40.826977,-73.90457,18
034,40.84774,-73.93212,16
049,40.86394,-73.86161,17
120,40.611626,-74.08359,06
120,40.613987,-74.09876,10
049,40.86782,-73.86345,08
112,40.73091,-73.86084,15
077,40.66925,-73.93944,06
034,40.852657,-73.935555,09
077,40.67597,-73.933235,19
111,40.759148,-73.79323,22
066,40.635868,-74.00559,09
079,40.69642,-73.95978,18
066,40.638412,-73.974304,14
045,40.83723,-73.83426,13
066,40.62013,-73.9857,17
115,40.76217,-73.87041,01
073,40.669262,-73.91356,12
040,40.803593,-73.919785,02
066,40.624916,-73.99208,19
115,40.749374,-73.86752,16
040,40.80543,-73.92087,17
040,40.81332,-73.90946,06
061,40.584755,-73.94712,01
102,40.712833,-73.82741,05
072,40.66495,-73.993355,16
061,40.59896,-73.950294,12
083,40.70025,-73.93774,14
115,40.757385,-73.88855,18
110,40.738426,-73.865555,07
121,40.59302,-74.18841,23
083,40.700058,-73.93279,14
103,40.70794,-73.784935,04
072,40.662296,-73.98874,11
121,40.63146,-74.15808,06
043,40.81162,-73.84691,14
072,40.656548,-74.0021,15
103,40.703342,-73.80021,08
083,40.693314,-73.92496,15
103,40.70058,-73.80775,13
102,40.704494,-73.81743,12
121,40.598137,-74.12546,13
106,40.681293,-73.82556,11
019,40.77564,-73.96052,10
106,40.681755,-73.81695,19
110,40.73036,-73.87886,23
103,40.695457,-73.80536,14
047,40.88287,-73.85021,18
103,40.697086,-73.80337,14
106,40.6893,-73.81629,19
107,40.716145,-73.82281,07
122,40.595966,-74.08715,10
113,40.677265,-73.778625,10
043,40.826538,-73.84978,21
107,40.72957,-73.82013,16
090,40.714066,-73.94938,01
107,40.722336,-73.80196,10
113,40.70089,-73.75708,03
043,40.83045,-73.8509,12
090,40.703373,-73.96405,00
104,40.713333,-73.91305,12
067,40.658295,-73.93109,21
090,40.712124,-73.934265,19
104,40.711903,-73.90019,16
043,40.82851,-73.88012,15
067,40.649734,-73.950424,18
067,40.64952,-73.955795,18
114,40.773808,-73.8929,13
108,40.748993,-73.89687,10
109,40.743504,-73.83567,06
105,40.6654,-73.74562,04
105,40.722916,-73.73151,01
105,40.66181,-73.77563,11
105,40.65511,-73.733826,14
075,40.660892,-73.88522,19
075,40.674377,-73.8669,15
075,40.654533,-73.860916,15
075,40.675735,-73.89686,21
100,40.589108,-73.80101,11
026,40.80884,-73.96582,16
020,40.771088,-73.98343,19
024,40.79166,-73.96469,08
024,40.798504,-73.96713,13
009,40.72595,-73.99633,11
030,40.827152,-73.946205,17
006,40.730057,-74.00046,22
009,40.724903,-73.99233,23
076,40.677944,-74.006805,13
005,40.716457,-74.002335,12
009,40.72352,-73.987,22
123,40.516556,-74.23361,11
010,40.7464,-74.00511,19
123,40.51978,-74.19785,15
013,40.732903,-73.986244,22
018,40.760418,-73.97584,09
033,40.84215,-73.94228,20
033,40.84784,-73.93953,23
007,40.71886,-73.97492,20
088,40.69832,-73.962265,02
007,40.72007,-73.98744,16
014,40.74985,-73.987946,22
088,40.685444,-73.9632,11
014,40.75048,-73.99473,19
023,40.78739,-73.938225,22
014,40.757908,-73.9893,18
060,40.58862,-73.98373,08
001,40.70697,-74.00189,14
014,40.753387,-73.99631,04
014,40.74778,-73.98924,09
017,40.745728,-73.97813,09
078,40.67216,-73.98721,11
060,40.58153,-73.96195,19
017,40.74568,-73.97213,15
060,40.58096,-73.96466,07
084,40.692234,-73.987305,13
041,40.813114,-73.9007,11
060,40.575302,-73.98453,20
078,40.680187,-73.967964,15
094,40.727753,-73.95725,16
041,40.81139,-73.894104,11
050,40.902317,-73.90161,11
094,40.714066,-73.95163,09
017,40.759308,-73.9653,00
084,40.688614,-73.989174,19
050,40.889503,-73.88764,20
071,40.662197,-73.95318,10
041,40.8212,-73.89871,20
084,40.696663,-73.98085,10
048,40.85819,-73.88435,20
071,40.666878,-73.94522,16
048,40.850475,-73.890945,08
063,40.6082,-73.920715,10
071,40.665955,-73.96147,08
046,40.853474,-73.906456,12
048,40.844173,-73.8997,10
063,40.62374,-73.92448,15
048,40.844013,-73.88832,13
046,40.85908,-73.898186,17
048,40.844803,-73.889885,16
063,40.616047,-73.93464,17
042,40.835747,-73.902245,10
048,40.84516,-73.89061,13
025,40.810173,-73.937416,17
050,40.881687,-73.90283,22
069,40.637993,-73.917366,07
070,40.631706,-73.94649,12
049,40.859695,-73.859024,11
112,40.731815,-73.8713,15
042,40.82361,-73.909,20
049,40.842827,-73.86604,15
070,40.645046,-73.95834,11
077,40.681118,-73.96443,01
077,40.674572,-73.96314,08
120,40.619007,-74.13148,11
025,40.802444,-73.938835,13
063,40.617065,-73.9157,22
079,40.700527,-73.94161,22
034,40.861256,-73.925674,14
046,40.854958,-73.90397,18
049,40.846474,-73.861824,10
079,40.69885,-73.938576,03
077,40.67312,-73.96072,12
112,40.718887,-73.8416,13
069,40.632065,-73.91861,17
034,40.866333,-73.92501,21
049,40.848454,-73.85548,21
034,40.866333,-73.92501,23
077,40.678455,-73.949684,02
079,40.694214,-73.95932,16
077,40.67132,-73.9281,15
073,40.659367,-73.90132,00
079,40.696995,-73.95475,08
063,40.635185,-73.92862,14
073,40.667377,-73.90338,11
111,40.763344,-73.75791,19
045,40.86027,-73.82459,15
079,40.695004,-73.9525,04
052,40.876534,-73.87076,05
079,40.678104,-73.9432,07
115,40.75595,-73.88165,01
115,40.747036,-73.88958,02
052,40.86332,-73.9097,07
115,40.76276,-73.87393,06
045,40.824352,-73.82022,21
044,40.835396,-73.92031,13
052,40.870182,-73.88552,18
111,40.765766,-73.77311,06
044,40.843475,-73.92467,18
110,40.749374,-73.86752,13
044,40.84299,-73.91099,21
073,40.662956,-73.90614,14
110,40.743935,-73.85749,13
083,40.698345,-73.92158,09
072,40.65476,-74.00724,16
073,40.665493,-73.92137,20
052,40.861862,-73.91275,01
061,40.595238,-73.94091,08
115,40.75713,-73.87042,20
073,40.684032,-73.91742,12
019,40.763363,-73.95925,08
073,40.661015,-73.90853,19
121,40.62312,-74.14928,18
061,40.585056,-73.928894,15
083,40.69473,-73.91928,04
121,40.634815,-74.140785,22
040,40.807552,-73.91922,07
061,40.579006,-73.95331,15
115,40.755028,-73.872696,19
040,40.814518,-73.91817,12
072,40.641506,-74.02111,05
115,40.756287,-73.860725,00
122,40.60621,-74.09095,00
040,40.819317,-73.93032,14
072,40.638264,-74.021095,08
106,40.673748,-73.84324,09
121,40.63069,-74.16178,10
068,40.61806,-74.03147,08
083,40.7065,-73.91701,11
122,40.570465,-74.10977,19
044,40.83091,-73.92047,23
061,40.590748,-73.94872,17
083,40.692356,-73.911064,13
107,40.712765,-73.78336,02
110,40.749306,-73.86141,07
103,40.705147,-73.7957,14
